公司名称,address
优必爱信息技术（北京）有限公司,北京市朝阳区广顺南大街16号院2号楼11层1117
优识云创（北京）科技有限公司,北京市海淀区西八里庄69号8层805室
优雅电子商务（北京）股份有限公司,北京市朝阳区安定路39号1幢7层713室
伟图空间（北京）信息技术有限公司,北京市海淀区信息路28号7层7层A284
伟宏互联网科技有限公司,北京市海淀区中关村南大街2号B座902A
伟拓嘉业新技术（北京）有限公司,北京市北京经济技术开发区荣昌东街7号B区5号楼4层A区
佑景天（北京）国际水环境研究中心有限公司,北京市海淀区上地东路5-1号京蒙高科大厦A318
信动互联（北京）科技有限公司,北京市海淀区农大南路1号院2号楼2层办公B-207-078
信诺非凡（北京）科技有限公司,北京市海淀区地锦路7号院6号楼2层201房间
信通宽带网络服务有限公司,北京市昌平区沙河镇顺沙路19号院二区底商2-4
信鸥互联（北京）信息技术有限公司,北京市昌平区科技园区超前路37号院16号楼2层c1040
元宝亿家互联网信息服务（北京）有限公司,北京市东城区东直门外大街48号1幢21层办公楼23I
元迪科技（北京）有限公司,北京市怀柔区雁栖经济开发区乐园大街6号2幢207室
先锋网融（北京）科技有限公司,北京市海淀区信息路甲28号C座(二层)02A室-263号
全民保（北京）信息技术有限公司,北京市通州区永乐店镇永乐大街9号-355号
八斗金服（北京）信息技术有限公司,北京市丰台区外环西路26号院28号楼4层
八百客（北京）软件技术有限公司,北京市海淀区上地东路1号院5号楼3层301
八零创成教育科技（北京）有限公司,北京市朝阳区霄云里8号楼1单元13层1601内033
六位时成网络技术（北京）有限公司,北京市海淀区上地十街1号院4号楼1210
兹曼软件技术（北京）有限公司,北京市海淀区上地十街1号院4号楼811室
养车空间（北京）科技股份有限公司,北京市石景山区实兴大街30号院3号楼2层A-1964房间
军民融合（北京）装备技术研究院,北京市海淀区昆明湖南路51号平房01号
农旗科技（北京）有限公司,北京市海淀区苏州街33号510号
冠融前沿（北京）软件技术有限公司,北京市海淀区上地十街1号院6号楼4层455室
创新科存储技术有限公司,北京市海淀区花园东路11号泰兴大厦五层505室
创易金服（北京）科技有限责任公司,北京市海淀区善缘街1号9层2-901
创而新（中国）科技有限公司,北京市海淀区万泉庄路15号
利贞创新科技发展（北京）有限公司,北京市昌平区沙河镇南大桥北六幢102-104
力德力诺生物技术（北京）有限公司,北京市海淀区西直门外高粱桥斜街19号3号楼312室
力鸿智信（北京）科技有限公司,北京市朝阳区利泽中园106号楼1层103B-1
勃肯特（北京）机器人技术有限公司,北京市北京经济技术开发区荣昌东街7号院6号楼5层518室
北亚领航科技（北京）有限公司,北京市朝阳区天朗园C座3层03商业(丰收孵化器791号)
北京一同宇科技发展有限公司,北京市丰台区丰台路口139、140号2幢631室
北京一得软件技术有限公司,北京市昌平区科技园区超前路35号北京化工大学科技园综合楼307室
北京一数科技有限公司,北京市东城区青龙胡同甲1号、3号2幢5层507
北京一点万象科技有限公司,北京市朝阳区豆各庄1号13幢3层312室
北京一点科研网络技术有限公司,北京市海淀区苏家坨镇绿地中央广场连桥二街9号院2号楼504
北京一览科技有限公司,北京市朝阳区来广营西路5号院诚盈中心2号楼5层525单元
北京一诺前景财税科技有限公司,北京市昌平区回龙观东大街338号创客广场A2-19-001
北京一路魔方科技有限公司,北京市海淀区宝盛南路1号院2号楼3层305
北京一鸣神州科技有限公司,北京市海淀区信息路28号7层7层-A223
北京丁兰科技有限公司,北京市海淀区26号中关村大街甲38号1号楼B座10层210号
北京七彩方圆科技有限公司,北京市门头沟区石龙经济开发区永安路20号3号楼B1-3060室
北京七星华创微波电子技术有限公司,北京市朝阳区酒仙桥东路1号(M2电子专用设备厂房)五层
北京七星弗洛尔电子设备制造有限公司,北京市朝阳区酒仙桥东路1号
北京七鑫易维信息技术有限公司,北京市朝阳区望京东园四区6号楼18层1801-1803单元
北京万兴卓能电力科技有限公司,北京市顺义区高丽营镇金马园一街17号院3号楼2层
北京万刚电子设备有限公司,北京市昌平区南口镇西大桥南路5号
北京万创科技有限公司,北京市北京经济技术开发区科创十三街12号院5号楼305室
北京万协通信息技术有限公司,北京市海淀区上地三街9号A座A801
北京万卡行科技有限公司,北京市海淀区花园路13号11栋233室
北京万可信息技术有限公司,北京市海淀区学院南路15号院7号楼18层2110
北京万尚星科技有限公司,北京市海淀区学院路甲9号1号楼2层203
北京万峰时代信息技术有限公司,北京市海淀区莱圳家园18号楼1层至5层101-376
北京万悦信息科技有限公司,北京市西城区新街口外大街28号B座2层214号(德胜园区)
北京万户网电子商务有限公司,北京市朝阳区高碑店乡半壁店村惠河南街1089号1层F407
北京万方云科技有限公司,北京市石景山区实兴大街30号院5号楼3层24号
北京万港通信技术有限公司,北京市朝阳区东四环中路82号3座05层605
北京万瑞天融信息技术有限公司,北京市海淀区蓝靛厂南路59号23号楼二层103室
北京万维星辰科技有限公司,北京市丰台区南四环西路186号三区2号楼8层02室
北京万联讯通科技有限公司,北京市海淀区长春桥路5号新起点嘉园4号楼801室
北京万联赢通科技股份有限公司,北京市海淀区北三环中路40号3幢3层3182室
北京万能小哥信息技术有限公司,北京市海淀区丰智东路13号A2栋8层9042室
北京万讯达声学设备有限公司,北京市怀柔区雁栖工业开发区二区79号
北京万象博众系统集成有限公司,北京市昌平区马池口镇葛村临598号
北京万辉视讯技术发展有限公司,北京市昌平区科技园区火炬街21号西4层432室
北京万通宜金投资管理有限公司,北京市朝阳区望京中环南路甲2号A1906
北京万邦联合科技股份有限公司,北京市密云区经济开发区云西七街3号
北京三一兴和科技发展有限公司,北京市海淀区蓝靛厂东路2号院2号楼(金源时代商务中心2号楼)05(04)层2单元(B座)5F-5
北京三一银通信息技术有限公司,北京市海淀区志新村16号楼4层南侧401
北京三五通联科技发展有限公司,北京市海淀区牡丹园东里23号楼2层203室
北京三体云联科技有限公司,北京市昌平区回龙观镇东大街338号创客广场B5-007
北京三号科技有限公司,北京市朝阳区建国路29号兴隆家园4号楼2层201内01
北京三易思创科技有限公司,北京市海淀区清河嘉园东区甲1号楼15层1532
北京三更科技有限公司,北京市平谷区山东庄镇李辛庄中街43号
北京三湘凯泰科技有限公司,北京市门头沟区石龙经济开发区永安路20号3号楼B1-6034室
北京三盟恒业光电科技有限公司,北京市昌平区沙河镇昌平路97号5幢B门304
北京三维天地科技有限公司,北京市海淀区彩和坊路11号601
北京三联万博数据科技有限公司,北京市顺义区赵全营镇联庄村村南路2号
北京三联中赢数据科技有限公司,北京市顺义区赵全营镇兆丰产业基地东盈路19号
北京三行华拓科技发展有限公司,北京市海淀区北三环西路甲30号双天大厦五层515室
北京三角智控科技有限公司,北京市海淀区清河朱房路临66号D栋1单元1层102室
北京三际生态科技有限公司,北京市昌平区科技园区超前路甲1号17号楼301室
北京三零卫士信息安全技术有限公司,北京市丰台区南四环西路188号总部基地18区6号楼四层
北京三驰惯性科技股份有限公司,北京市海淀区上地信息基地上地工贸园3号楼6层0604
北京三驰科技发展有限公司,北京市海淀区上地信息基地上地工贸园3号楼6层0604
北京上拓科技有限公司,北京市西城区新街口外大街28号102楼123、125室(德胜园区)
北京上晋科技产业有限公司,北京市西城区广安门外大街168号1幢11层2-1212C室
北京下厨房科技有限公司,北京市海淀区黑泉路8号1幢康健宝盛广场A座3层3006-3008
北京与众软件有限公司,北京市海淀区中关村东路66号1号楼3层商业2-159
北京世伟泰科信息技术股份有限公司,北京市海淀区学院南路30号18号楼2层203室
北京世宏顺达科技发展有限公司,北京市朝阳区广渠门外大街8号21层东座-2503
北京世界华语影业有限公司,北京市门头沟区石龙经济开发区永安路20号3号楼A-4061室
北京世纪九州软件有限公司,北京市海淀区永泰庄北路9号7号院206室
北京世纪华符科技有限公司,北京市石景山区八大处高科技园区西井路3号3号楼2258A房间
北京世纪德润科技有限公司,北京市海淀区天秀路10号中国农大国际创业园3号楼5层5014、5016
北京世纪思特技术开发有限公司,北京市海淀区花园东路11号泰兴大厦4层401-1室
北京世纪恒力科技有限公司,北京市海淀区上地六街28号院2号楼4层407号
北京世纪旗云软件技术有限公司,北京市海淀区蓟门里小区1号楼三层317室、319室
北京世纪杰晨网络技术有限公司,北京市海淀区上地信息路1号1号楼2404
北京世纪电盈科技有限公司,北京市海淀区中关村南大街甲6号601
北京世纪联信科技有限公司,北京市海淀区天秀路10号中国农大国际创业园3号楼4003、4004
北京世纪远扬科技有限公司,北京市海淀区苏州街29号维亚大厦912-913室
北京世纪隆博科技有限责任公司,北京市朝阳区朝阳门外大街18号A2205
北京世维通光智能科技有限公司,北京市海淀区上地十街1号院2号楼11层1108
北京世茂联成网络工程有限公司,北京市门头沟区石龙经济开发区永安路20号3号楼A-5999室
北京世通创电科技有限公司,北京市丰台区马家堡东路2号512
北京世通科创技术有限公司,北京市通州区潞城镇后北营村村委会西300米
北京东信网泰通信技术有限公司,北京市海淀区大钟寺13号院1号楼华杰大厦8B5
北京东升大邦科技有限公司,北京市朝阳区十八里店乡弘善家园405号楼2层201室
北京东华广信科技发展有限公司,北京市海淀区知春路63号51号楼十二层1209室
北京东华智中能源互联网科技有限公司,北京市北京经济技术开发区运成街2号1幢B座701
北京东博气动工具有限公司,北京市顺义区天竺空港工业区B区安庆大街9号4幢201室
北京东方中恒科技发展有限公司,北京市门头沟区月季园25号1-208室
北京东方信安科技有限公司,北京市海淀区上地十街1号院5号楼13层1304
北京东方信联无线通信有限公司,北京市石景山区体育场南路2号2层207室
北京东方信联科技有限公司,北京市石景山区体育场南路2号2层206室
北京东方信通科技有限公司,北京市丰台区榴乡路88号院10号楼13层1301-06
北京东方康明科技开发有限公司,北京市昌平区回龙观镇建材城西路87号2号楼15层1单元1526
北京东方恩拓科技有限公司,北京市海淀区北清路68号1号楼2层210室
北京东方明美科技有限公司,北京市朝阳区北辰西路69号4单元2205号
北京东方易信科技有限公司,北京市海淀区花园路13号院5幢北1层B601
北京东方易超科技有限公司,北京市海淀区青云里满庭芳园小区9号楼青云当代大厦14层1403号
北京东方波泰无线电频谱技术研究所,北京市西城区北礼士路甲98号408-417室
北京东方海泰科技有限公司,北京市海淀区清河小营西小口路27号院东北A座三层301室
北京东方灵盾科技有限公司,北京市海淀区海淀南路甲21号6层
北京东方瑞庭网络技术有限公司,北京市海淀区清河嘉园东区4号楼2层211-3号
北京东方畅享科技有限公司,北京市西城区百花深处16号17幢101室
北京东方盛工科技有限公司,北京市朝阳区广顺北大街33号院1号楼3层301内116号
北京东方科达教育科技有限公司,北京市海淀区中关村大街18号B座十层1046、1048室
北京东方笑脸科技有限责任公司,北京市海淀区上地东路1号院1号楼401-B015
北京东方网润科技有限公司,北京市海淀区学清路甲18号中关村东升科技园学院园东配楼3层302室
北京东方财蕴金融信息服务有限公司,北京市海淀区丹棱街1号院1号楼16层1601
北京东方赛思软件有限公司,北京市海淀区彰化路138号院1号楼2层203-10室
北京东方锐择科技有限公司,北京市海淀区创业中路36号4层412室
北京东方高盛信息技术有限公司,北京市西城区阜成门外大街甲28号19层1904房间
北京东科泓生科技有限公司,北京市海淀区知春路56号西区7号平房201室
北京东科达自动化科技有限公司,北京市昌平区沙河镇北街家园五区2号楼3层3单元305
北京东航科仪仪器有限公司,北京市北京经济技术开发区科创十四街99号33幢C栋211室
北京东运通科技服务有限公司,北京市通州区口子村东1号院17号楼2层
北京东远新科电子信息技术有限公司,北京市海淀区昆明湖南路51号C座二层209号
北京东霖消防科技有限公司,北京市北京经济技术开发区科创七街29号院4号楼
北京东鸟软件技术有限公司,北京市海淀区田村路西口畅茜园圣华里4号楼3-9层丽时假日酒店9层9028号
北京中万网络科技有限责任公司,北京市海淀区东北旺路2号联创大厦2层203
北京中云信安软件有限责任公司,北京市海淀区东北旺乡东北旺村南28号院北排4号406室
北京中云微迅信息技术有限公司,北京市海淀区祁家豁子甲2号7号楼215B室
北京中云融信科技有限公司,北京市海淀区复兴路65号6层603
北京中交晶通科技有限公司,北京市昌平区科技园区中兴路10号A306-1室
北京中交汇智数据有限公司,北京市朝阳区望京东园一区120号楼-2至6层101内六层6F-A46
北京中交汇能信息科技有限公司,北京市朝阳区安定路39号1幢9层904C室
北京中交睿达科技有限公司,北京市丰台区科学城海鹰路9号2号楼3层301室、302室、303室、304室、305室(园区)
北京中亦科技有限公司,北京市北京经济技术开发区景园北街2号院68号楼10层1110
北京中企点击软件技术有限公司,北京市海淀区上地十街1号院2号楼23层2302
北京中位数科技有限公司,北京市海淀区悦秀路99号7层1单元718-1
北京中元世际设备制造有限公司,北京市房山区良乡经济开发区创新路2号
北京中光超影科技有限公司,北京市昌平区科技园区仁和路4号3幢一层东侧
北京中兴正远科技有限公司,北京市海淀区农大南路1号院2号楼二层办公B216
北京中兴金港机场工程技术有限公司,北京市大兴区庆祥南路29号院9号楼4层2单元406
北京中农互联信息技术有限公司,北京市海淀区中关村东路66号1号楼2层商业5-204
北京中农信联科技有限公司,北京市海淀区地锦路7号院14号楼一层101(A-54)
北京中农大网络发展有限公司,北京市海淀区上地三街9号嘉华大厦C座8层809室
北京中凯科电电力技术有限公司,北京市昌平区回龙观镇黄平路19号院2号9层911
北京中北金盾科技有限公司,北京市房山区燕山星城紫燕中路2号
北京中友科技有限公司,北京市西城区马连道路6号院6号楼5层606-1
北京中和威软件有限公司,北京市海淀区东北旺西路58号院东侧B楼003室
北京中和德一中医药科技有限公司,北京市海淀区创业中路32号楼32-1-1-584
北京中嘉信诺科技发展有限公司,北京市海淀区上地六街17号2层6209
北京中图信华信息工程有限公司,北京市大兴区隆丰大街1号院1号楼五单元1-14
北京中坤天朗信息技术有限公司,北京市海淀区北三环中路44号4号楼3层315
北京中城视通科技股份有限公司,北京市东城区南竹杆胡同2号1幢7层20710
